,Year,Round,Status,statusId,Count
610,2014,14,Power Unit,131,1
611,2014,15,Finished,1,9
612,2014,15,Accident,3,2
613,2014,15,+1 Lap,11,10
614,2014,15,Electronics,40,1
615,2014,16,Finished,1,13
616,2014,16,+1 Lap,11,5
617,2014,16,+2 Laps,12,1
618,2014,16,Suspension,22,1
619,2014,16,Brakes,23,1
620,2014,17,Finished,1,10
621,2014,17,Collision,4,1
622,2014,17,Engine,5,1
623,2014,17,+1 Lap,11,5
624,2014,17,Collision damage,130,1
625,2014,18,Finished,1,9
626,2014,18,+1 Lap,11,7
627,2014,18,+8 Laps,18,1
628,2014,18,Suspension,22,1
629,2014,19,Finished,1,12
630,2014,19,+1 Lap,11,5
631,2014,19,Retired,31,1
632,2014,19,Power Unit,131,2
633,2015,1,Finished,1,5
634,2015,1,Accident,3,1
635,2015,1,Engine,5,1
636,2015,1,+1 Lap,11,5
637,2015,1,+2 Laps,12,1
638,2015,1,Wheel,36,1
639,2015,1,Withdrew,54,3
640,2015,1,Power loss,75,1
641,2015,2,Finished,1,7
642,2015,2,+1 Lap,11,7
643,2015,2,+3 Laps,13,1
644,2015,2,Spun off,20,1
645,2015,2,Retired,31,1
646,2015,2,Fuel system,69,1
647,2015,2,Turbo,101,1
648,2015,2,ERS,132,1
649,2015,3,Finished,1,9
650,2015,3,Gearbox,6,1
651,2015,3,Transmission,7,1
652,2015,3,+1 Lap,11,5
653,2015,3,+2 Laps,12,2
654,2015,3,Brakes,23,1
655,2015,3,Power Unit,131,1
656,2015,4,Finished,1,7
657,2015,4,Engine,5,1
658,2015,4,Electrical,10,1
659,2015,4,+1 Lap,11,8
660,2015,4,+2 Laps,12,1
661,2015,4,+3 Laps,13,1
662,2015,4,ERS,132,1
663,2015,5,Finished,1,6
664,2015,5,Accident,3,1
665,2015,5,+1 Lap,11,10
666,2015,5,+3 Laps,13,1
667,2015,5,+4 Laps,14,1
668,2015,5,Brakes,23,1
669,2015,6,Finished,1,14
670,2015,6,Accident,3,1
671,2015,6,Gearbox,6,1
672,2015,6,+1 Lap,11,1
673,2015,6,+2 Laps,12,2
674,2015,6,Brakes,23,1
675,2015,7,Finished,1,7
676,2015,7,Engine,5,1
677,2015,7,+1 Lap,11,8
678,2015,7,+2 Laps,12,1
679,2015,7,+4 Laps,14,1
680,2015,7,Retired,31,2
681,2015,8,Finished,1,6
682,2015,8,Collision,4,2
683,2015,8,Gearbox,6,1
684,2015,8,+1 Lap,11,6
685,2015,8,+2 Laps,12,1
686,2015,8,+3 Laps,13,1
687,2015,8,Retired,31,1
688,2015,8,Oil leak,44,1
689,2015,8,Power loss,75,1
690,2015,9,Finished,1,7
691,2015,9,Collision,4,3
692,2015,9,Gearbox,6,1
693,2015,9,Electrical,10,2
694,2015,9,+1 Lap,11,4
695,2015,9,+3 Laps,13,2
696,2015,9,Spun off,20,1
697,2015,10,Finished,1,14
698,2015,10,Electrical,10,1
699,2015,10,+2 Laps,12,1
700,2015,10,+4 Laps,14,1
701,2015,10,Suspension,22,1
702,2015,10,Front wing,33,1
703,2015,10,Power Unit,131,1
704,2015,11,Finished,1,10
705,2015,11,Engine,5,1
706,2015,11,+1 Lap,11,4
707,2015,11,Tyre,27,1
708,2015,11,Power loss,75,1
709,2015,11,Power Unit,131,3
710,2015,12,Finished,1,6
711,2015,12,+1 Lap,11,8
712,2015,12,+2 Laps,12,2
713,2015,12,+3 Laps,13,1
